type1,classifier1,class1,type2,classifier2,class2,overlap
AlertsOfInterest,FINK_PORTAL,Solar System MPC,AlertsOfInterest,FINK_PORTAL,Solar System MPC,56291.0
SourcesOfInterest,FINK_PORTAL,Solar System MPC,SourcesOfInterest,FINK_PORTAL,Solar System MPC,56291.0
SourcesOfInterest,FEATURES,FC-3,SourcesOfInterest,FEATURES,FC-3,3364.0
AlertsOfInterest,FEATURES,FC-3,AlertsOfInterest,FEATURES,FC-3,3364.0
AlertsOfInterest,FEATURES,FC-11,AlertsOfInterest,FEATURES,FC-11,2749.0
SourcesOfInterest,FEATURES,FC-11,SourcesOfInterest,FEATURES,FC-11,2749.0
SourcesOfInterest,FINK_PORTAL,QSO,SourcesOfInterest,FINK_PORTAL,QSO,1737.0
AlertsOfInterest,FINK_PORTAL,QSO,AlertsOfInterest,FINK_PORTAL,QSO,1737.0
AlertsOfInterest,FINK_PORTAL,SN candidate,AlertsOfInterest,FINK_PORTAL,SN candidate,1431.0
SourcesOfInterest,FINK_PORTAL,SN candidate,SourcesOfInterest,FINK_PORTAL,SN candidate,1431.0
SourcesOfInterest,FINK_PORTAL,Solar System candidate,SourcesOfInterest,FINK_PORTAL,Solar System candidate,1260.0
AlertsOfInterest,FINK_PORTAL,Solar System candidate,AlertsOfInterest,FINK_PORTAL,Solar System candidate,1260.0
AlertsOfInterest,FINK_PORTAL,Tracklet,AlertsOfInterest,FINK_PORTAL,Tracklet,915.0
SourcesOfInterest,FINK_PORTAL,Tracklet,SourcesOfInterest,FINK_PORTAL,Tracklet,915.0
SourcesOfInterest,FEATURES,FC-38,SourcesOfInterest,FEATURES,FC-38,907.0
AlertsOfInterest,FEATURES,FC-38,AlertsOfInterest,FEATURES,FC-38,907.0
AlertsOfInterest,FINK_PORTAL,Star,AlertsOfInterest,FINK_PORTAL,Star,585.0
SourcesOfInterest,FINK_PORTAL,Star,SourcesOfInterest,FINK_PORTAL,Star,585.0
SourcesOfInterest,FEATURES,FC-2,SourcesOfInterest,FEATURES,FC-2,542.0
AlertsOfInterest,FEATURES,FC-2,AlertsOfInterest,FEATURES,FC-2,542.0
SourcesOfInterest,FEATURES,FC-10,SourcesOfInterest,FEATURES,FC-10,518.0
AlertsOfInterest,FEATURES,FC-10,AlertsOfInterest,FEATURES,FC-10,518.0
SourcesOfInterest,FEATURES,FC-8,SourcesOfInterest,FEATURES,FC-8,451.0
AlertsOfInterest,FEATURES,FC-8,AlertsOfInterest,FEATURES,FC-8,451.0
SourcesOfInterest,FEATURES,FC-22,SourcesOfInterest,FEATURES,FC-22,349.0
AlertsOfInterest,FEATURES,FC-22,AlertsOfInterest,FEATURES,FC-22,349.0
AlertsOfInterest,FINK_PORTAL,EclBin,AlertsOfInterest,FINK_PORTAL,EclBin,274.0
SourcesOfInterest,FINK_PORTAL,EclBin,SourcesOfInterest,FINK_PORTAL,EclBin,274.0
SourcesOfInterest,FEATURES,FC-4,SourcesOfInterest,FEATURES,FC-4,249.0
AlertsOfInterest,FEATURES,FC-4,AlertsOfInterest,FEATURES,FC-4,249.0
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FEATURES,FC-0,248.0
AlertsOfInterest,FEATURES,FC-0,AlertsOfInterest,FEATURES,FC-0,248.0
SourcesOfInterest,FEATURES,FC-11,SourcesOfInterest,FEATURES,FC-0,239.0
AlertsOfInterest,FEATURES,FC-0,AlertsOfInterest,FEATURES,FC-11,239.0
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FEATURES,FC-11,239.0
AlertsOfInterest,FEATURES,FC-11,AlertsOfInterest,FEATURES,FC-0,239.0
SourcesOfInterest,FEATURES,FC-3,SourcesOfInterest,FEATURES,FC-4,233.0
SourcesOfInterest,FEATURES,FC-4,SourcesOfInterest,FEATURES,FC-3,233.0
AlertsOfInterest,FEATURES,FC-3,AlertsOfInterest,FEATURES,FC-4,233.0
AlertsOfInterest,FEATURES,FC-4,AlertsOfInterest,FEATURES,FC-3,233.0
AlertsOfInterest,FINK_PORTAL,EB*,AlertsOfInterest,FINK_PORTAL,EB*,193.0
SourcesOfInterest,FINK_PORTAL,EB*,SourcesOfInterest,FINK_PORTAL,EB*,193.0
SourcesOfInterest,FINK_PORTAL,RRLyr,SourcesOfInterest,FINK_PORTAL,RRLyr,184.0
AlertsOfInterest,FINK_PORTAL,RRLyr,AlertsOfInterest,FINK_PORTAL,RRLyr,184.0
SourcesOfInterest,FEATURES,FC-38,SourcesOfInterest,FINK_PORTAL,QSO,175.0
SourcesOfInterest,FINK_PORTAL,QSO,SourcesOfInterest,FEATURES,FC-38,175.0
AlertsOfInterest,FINK_PORTAL,QSO,AlertsOfInterest,FEATURES,FC-38,175.0
AlertsOfInterest,FEATURES,FC-38,AlertsOfInterest,FINK_PORTAL,QSO,175.0
SourcesOfInterest,FINK_PORTAL,V*,SourcesOfInterest,FINK_PORTAL,V*,155.0
AlertsOfInterest,FINK_PORTAL,V*,AlertsOfInterest,FINK_PORTAL,V*,155.0
SourcesOfInterest,FINK_PORTAL,EB*_Candidate,SourcesOfInterest,FINK_PORTAL,EB*_Candidate,141.0
AlertsOfInterest,FINK_PORTAL,EB*_Candidate,AlertsOfInterest,FINK_PORTAL,EB*_Candidate,141.0
SourcesOfInterest,FEATURES,FC-1,SourcesOfInterest,FEATURES,FC-1,108.0
AlertsOfInterest,FEATURES,FC-1,AlertsOfInterest,FEATURES,FC-1,108.0
AlertsOfInterest,FEATURES,FC-3,AlertsOfInterest,FINK_PORTAL,Star,105.0
SourcesOfInterest,FINK_PORTAL,Star,SourcesOfInterest,FEATURES,FC-3,105.0
AlertsOfInterest,FEATURES,FC-39,AlertsOfInterest,FEATURES,FC-39,105.0
SourcesOfInterest,FEATURES,FC-3,SourcesOfInterest,FINK_PORTAL,Star,105.0
AlertsOfInterest,FINK_PORTAL,Star,AlertsOfInterest,FEATURES,FC-3,105.0
SourcesOfInterest,FEATURES,FC-39,SourcesOfInterest,FEATURES,FC-39,105.0
SourcesOfInterest,FEATURES,FC-36,SourcesOfInterest,FEATURES,FC-36,103.0
AlertsOfInterest,FEATURES,FC-36,AlertsOfInterest,FEATURES,FC-36,103.0
SourcesOfInterest,FEATURES,FC-35,SourcesOfInterest,FEATURES,FC-35,95.0
AlertsOfInterest,FEATURES,FC-35,AlertsOfInterest,FEATURES,FC-35,95.0
AlertsOfInterest,FINK_PORTAL,LongPeriodV*,AlertsOfInterest,FINK_PORTAL,LongPeriodV*,83.0
SourcesOfInterest,FINK_PORTAL,LongPeriodV*,SourcesOfInterest,FINK_PORTAL,LongPeriodV*,83.0
SourcesOfInterest,FEATURES,FC-44,SourcesOfInterest,FEATURES,FC-44,80.0
AlertsOfInterest,FEATURES,FC-44,AlertsOfInterest,FEATURES,FC-44,80.0
SourcesOfInterest,FEATURES,FC-10,SourcesOfInterest,FINK_PORTAL,QSO,76.0
SourcesOfInterest,FINK_PORTAL,QSO,SourcesOfInterest,FEATURES,FC-10,76.0
AlertsOfInterest,FEATURES,FC-10,AlertsOfInterest,FINK_PORTAL,QSO,76.0
AlertsOfInterest,FINK_PORTAL,QSO,AlertsOfInterest,FEATURES,FC-10,76.0
SourcesOfInterest,FINK_PORTAL,BYDraV*,SourcesOfInterest,FINK_PORTAL,BYDraV*,68.0
AlertsOfInterest,FINK_PORTAL,BYDraV*,AlertsOfInterest,FINK_PORTAL,BYDraV*,68.0
AlertsOfInterest,FINK_PORTAL,LPV*,AlertsOfInterest,FINK_PORTAL,LPV*,61.0
SourcesOfInterest,FINK_PORTAL,LPV*,SourcesOfInterest,FINK_PORTAL,LPV*,61.0
AlertsOfInterest,FEATURES,FC-11,AlertsOfInterest,FINK_PORTAL,Star,59.0
AlertsOfInterest,FINK_PORTAL,Star,AlertsOfInterest,FEATURES,FC-11,59.0
SourcesOfInterest,FINK_PORTAL,Radio,SourcesOfInterest,FINK_PORTAL,Radio,59.0
AlertsOfInterest,FINK_PORTAL,Radio,AlertsOfInterest,FINK_PORTAL,Radio,59.0
SourcesOfInterest,FEATURES,FC-11,SourcesOfInterest,FINK_PORTAL,Star,59.0
SourcesOfInterest,FINK_PORTAL,Star,SourcesOfInterest,FEATURES,FC-11,59.0
SourcesOfInterest,FINK_PORTAL,LP*_Candidate,SourcesOfInterest,FINK_PORTAL,LP*_Candidate,46.0
AlertsOfInterest,FINK_PORTAL,LP*_Candidate,AlertsOfInterest,FINK_PORTAL,LP*_Candidate,46.0
AlertsOfInterest,FINK_PORTAL,RRLyrae,AlertsOfInterest,FINK_PORTAL,RRLyrae,45.0
SourcesOfInterest,FINK_PORTAL,RRLyrae,SourcesOfInterest,FINK_PORTAL,RRLyrae,45.0
SourcesOfInterest,FINK_PORTAL,Variable*,SourcesOfInterest,FINK_PORTAL,Variable*,44.0
AlertsOfInterest,FINK_PORTAL,Variable*,AlertsOfInterest,FINK_PORTAL,Variable*,44.0
SourcesOfInterest,FINK_PORTAL,BYDra,SourcesOfInterest,FINK_PORTAL,BYDra,38.0
AlertsOfInterest,FINK_PORTAL,BYDra,AlertsOfInterest,FINK_PORTAL,BYDra,38.0
SourcesOfInterest,FEATURES,FC-20,SourcesOfInterest,FEATURES,FC-20,37.0
AlertsOfInterest,FEATURES,FC-20,AlertsOfInterest,FEATURES,FC-20,37.0
AlertsOfInterest,FINK_PORTAL,SB*,AlertsOfInterest,FINK_PORTAL,SB*,36.0
SourcesOfInterest,FINK_PORTAL,SB*,SourcesOfInterest,FINK_PORTAL,SB*,36.0
AlertsOfInterest,FINK_PORTAL,YSO_Candidate,AlertsOfInterest,FINK_PORTAL,YSO_Candidate,30.0
SourcesOfInterest,FINK_PORTAL,YSO_Candidate,SourcesOfInterest,FINK_PORTAL,YSO_Candidate,30.0
AlertsOfInterest,FINK_PORTAL,blue,AlertsOfInterest,FINK_PORTAL,blue,30.0
SourcesOfInterest,FINK_PORTAL,blue,SourcesOfInterest,FINK_PORTAL,blue,30.0
AlertsOfInterest,FINK_PORTAL,WD*_Candidate,AlertsOfInterest,FINK_PORTAL,WD*_Candidate,27.0
SourcesOfInterest,FINK_PORTAL,Blue,SourcesOfInterest,FINK_PORTAL,Blue,27.0
SourcesOfInterest,FINK_PORTAL,WD*_Candidate,SourcesOfInterest,FINK_PORTAL,WD*_Candidate,27.0
AlertsOfInterest,FINK_PORTAL,Blue,AlertsOfInterest,FINK_PORTAL,Blue,27.0
SourcesOfInterest,FEATURES,FC-11,SourcesOfInterest,FINK_PORTAL,QSO,26.0
AlertsOfInterest,FINK_PORTAL,C*,AlertsOfInterest,FINK_PORTAL,C*,26.0
AlertsOfInterest,FINK_PORTAL,RGB*,AlertsOfInterest,FINK_PORTAL,RGB*,26.0
SourcesOfInterest,FEATURES,FC-28,SourcesOfInterest,FEATURES,FC-28,26.0
AlertsOfInterest,FINK_PORTAL,QSO,AlertsOfInterest,FEATURES,FC-11,26.0
