objectId,collect_list(fid),collect_list(magpsf),collect_list(jd),collect_list(class),maxclass
ZTF17aaaesrm,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.5169798;1.2540498;0.4009776;0.46483096;-0.3135286;0.059079755;-0.60279316;-0.04513809;-0.15405859;0.035376206;0.3794198;0.18807517;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep,Type2Cep
ZTF18abaphlr,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.5545149;-2.9553988;-0.27010906;-2.1115026;-0.171625;-1.2625918;0.41562796;-0.9068023;1.0188072;-0.68440807;1.2004097;-0.41611448;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep,Type2Cep
ZTF19aayvozr,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,0.07077272;-1.7788076;-0.24635063;-1.1315696;-0.4400217;-0.4786355;-0.27370965;-0.49432755;0.074967034;-0.5019041;0.43755174;-0.26009893;0.5180531;-0.06807041;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep,Type2Cep
ZTF18achypyv,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.49737507;-3.3527045;0.07902183;-2.4035537;0.75815636;-1.1182508;0;0;0;0;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep,Type2Cep
ZTF18acvvybk,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.7648092;-1.2863955;-0.18416174;-0.69148606;-0.315198;-0.18325654;-0.3624801;-0.017310508;0.088361084;0.22322306;0.5828126;0.5952757;0.9353968;0.8050401;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep;Type2Cep,Type2Cep
ZTF19abdkcsr,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-2.0732062;0.22115901;-0.15102042;-0.016739838;0.30481535;-0.07271574;-0.02479136;-0.13616638;-0.11299305;-0.24451715;0.08866003;-0.26684552;0.39896524;-0.23448464;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV,UV
ZTF18aahimjm,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,0.407081;-2.3194265;-0.13501917;-1.6499472;-0.3121394;-0.73427325;-0.36543703;-0.5765411;-0.34369367;-0.46718913;-0.23735712;0.002433475;-0.0063795;0.46716553;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18adaikgm,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,0.10583371;-2.0550265;-0.21723948;-1.3796799;-0.3618788;-0.5442684;-0.42798352;-0.5115216;-0.29219872;-0.50830656;-0.07988463;-0.16652425;0.17543273;0.17812999;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18abmrepc,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.6552738;-2.8391452;-0.24355654;-1.9486918;-0.30256605;-1.0430853;-0.02313909;-0.79079264;0.3317157;-0.49773318;0.341859;0.04570748;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF20aavlfic,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.674387;1.0553806;0.12351091;0.41860062;0.18253753;-0.06144593;-0.24719207;-0.22963011;-0.11450495;-0.31520063;0.58689666;-0.3430653;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
